# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
316.0633906;66.6173068;15.2479611;3.8645116;0.0356808;8;0
316.2633042;66.4678736;15.1151536;3.8718683;0.0379163;8;0
316.4632178;66.3194675;14.9812318;3.8796715;0.0401551;8;0
316.6631314;66.1721138;14.8461178;3.8876855;0.0398238;8;0
316.863045;66.0258497;14.7098436;3.8955927;0.0392837;8;0
317.0629586;65.8806606;14.5724251;3.9033925;0.0387589;8;0
317.2628722;65.7365361;14.4338813;3.9110908;0.0382564;8;0
317.4627858;65.5934811;14.2942451;3.9186885;0.0377553;8;0
317.6626994;65.4514775;14.1535261;3.9261905;0.0372997;8;0
317.862613;65.3105309;14.0117559;3.9336021;0.0368485;8;0
318.0625266;65.1706325;13.8689514;3.9409236;0.0363979;8;0
318.2624402;65.0317752;13.7251309;3.9481549;0.035947;8;0
318.4623538;64.8939575;13.5803189;3.9552962;0.0354971;8;0
318.6622673;64.7571687;13.4345301;3.9623485;0.0350568;8;0
318.8621809;64.6214057;13.287787;3.9693129;0.0346182;8;0
319.0620945;64.4866618;13.1401082;3.9761899;0.0341837;8;0
319.2620081;64.3529299;12.9915117;3.9829807;0.0337539;8;0
319.4619217;64.2202031;12.8420153;3.9896857;0.0333252;8;0
319.6618353;64.088477;12.69164;3.9963057;0.0329047;8;0
319.8617489;63.9577413;12.5403996;4.0028419;0.0324854;8;0
320.0616625;63.8279911;12.388314;4.0092945;0.0320707;8;0
320.2615761;63.6992193;12.2354005;4.0156649;0.0316609;8;0
320.4614897;63.5714149;12.0816713;4.0219535;0.031252;8;0
320.6614033;63.4445781;11.9271523;4.028161;0.0308515;8;0
320.8613169;63.3186935;11.7718499;4.0342888;0.0304522;8;0
321.0612305;63.1937574;11.615785;4.0403369;0.0300563;8;0
321.2611441;63.0697626;11.4589737;4.0463063;0.0296642;8;0
321.4610577;62.9466954;11.3014242;4.0521976;0.0292729;8;0
321.6609712;62.8245588;11.1431656;4.0580105;0.0288833;8;0
321.8608848;62.7033337;10.9841987;4.0637458;0.0284947;8;0
322.0607984;62.583017;10.824545;4.0694035;0.0281067;8;0
322.260712;62.4636008;10.6642198;4.0749836;0.0277193;8;0
322.4606256;62.3450699;10.5032285;4.0804866;0.0273328;8;0
322.6605392;62.2274276;10.3416019;4.0859121;0.0269468;8;0
322.8604528;62.1106529;10.1793373;4.0912606;0.0265615;8;0
323.0603664;61.9947425;10.0164562;4.0965322;0.0261767;8;0
323.26028;61.8796876;9.852973;4.1017268;0.0257922;8;0
323.4601936;61.7654721;9.6888914;4.1068448;0.0254085;8;0
323.6601072;61.6520987;9.5242423;4.1118857;0.0250245;8;0
323.8600208;61.5395458;9.3590212;4.1168502;0.0246412;8;0
324.0599344;61.4278091;9.193249;4.1217381;0.0242582;8;0
324.259848;61.316879;9.0269391;4.1265492;0.0238751;8;0
324.4597615;61.2067394;8.8600945;4.1312841;0.0234928;8;0
324.6596751;61.0973911;8.6927446;4.1359422;0.0231098;8;0
324.8595887;60.9888129;8.5248848;4.140524;0.0227275;8;0
325.0595023;60.8809993;8.3565347;4.1450294;0.0223452;8;0
325.2594159;60.7739401;8.1877066;4.1494582;0.0219627;8;0
325.4593295;60.6676192;8.0184037;4.1538107;0.0215808;8;0
325.6592431;60.5620353;7.8486527;4.1580867;0.0211981;8;0
325.8591567;60.4571682;7.67845;4.1622863;0.020816;8;0
326.0590703;60.3530109;7.5078135;4.1664095;0.0204337;8;0
326.2589839;60.2495526;7.3367546;4.1704562;0.0200511;8;0
326.4588975;60.1467776;7.1652772;4.1744266;0.0196691;8;0
326.6588111;60.0446821;6.9934043;4.1783203;0.0192861;8;0
326.8587247;59.9432472;6.8211344;4.1821376;0.0189035;8;0
327.0586383;59.8424646;6.6484832;4.1858785;0.0185207;8;0
327.2585518;59.7423227;6.4754614;4.1895427;0.0181375;8;0
327.4584654;59.6428065;6.3020737;4.1931304;0.0177548;8;0
327.658379;59.5439095;6.1283393;4.1966414;0.017371;8;0
327.8582926;59.4456145;5.9542591;4.2000758;0.0169876;8;0
328.0582062;59.3479116;5.7798467;4.2034336;0.0166039;8;0
328.2581198;59.2507887;5.6051119;4.2067145;0.0162197;8;0
328.4580334;59.1542314;5.4300605;4.2099187;0.0158358;8;0
328.657947;59.0582306;5.2547076;4.213046;0.0154509;8;0
328.8578606;58.9627709;5.0790571;4.2160964;0.0150664;8;0
329.0577742;58.8678408;4.9031202;4.2190699;0.0146812;8;0
329.2576878;58.7734277;4.7269059;4.2219663;0.0142953;8;0
329.4576014;58.6795181;4.5504213;4.2247855;0.0139096;8;0
329.657515;58.5861002;4.3736777;4.2275277;0.0135243;8;0
329.8574286;58.4931602;4.1966814;4.2301929;0.0131392;8;0
330.0573422;58.4006853;4.0194414;4.2327812;0.0127547;8;0
330.2572557;58.3086627;3.8419664;4.2352926;0.0123707;8;0
330.4571693;58.2170797;3.664265;4.2377274;0.011987;8;0
330.6570829;58.1259223;3.4863434;4.240088;0.0116296;8;0
330.8569965;58.0351794;3.3082114;4.2423772;0.0112723;8;0
331.0569101;57.9448381;3.1298755;4.2445927;0.0108703;8;0
331.2568237;57.8548843;2.9513434;4.2467212;0.0104234;8;0
331.4567373;57.7653027;2.7726241;4.2487603;0.0099763;8;0
331.6566509;57.6760793;2.5937262;4.2507338;0.009768;8;0
331.8565645;57.5872052;2.4146539;4.2526658;0.0095598;8;0
332.0564781;57.4986735;2.2354121;4.2545582;0.0093928;8;0
332.2563917;57.4104787;2.0560045;4.2564233;0.0092668;8;0
332.4563053;57.3226164;1.8764336;4.2582633;0.0091409;8;0
332.6562189;57.2350824;1.6967026;4.2600781;0.009015;8;0
332.8561325;57.1478724;1.5168142;4.2618677;0.008889;8;0
333.056046;57.0609823;1.3367709;4.2636322;0.0087625;8;0
333.2559596;56.9744076;1.1565758;4.2653712;0.0086355;8;0
333.4558732;56.8881443;0.9762316;4.2670849;0.0085084;8;0
333.6557868;56.8021876;0.7957407;4.268773;0.0083806;8;0
333.8557004;56.7165336;0.6151062;4.2704357;0.0082528;8;0
334.055614;56.6311777;0.4343306;4.2720727;0.0081245;8;0
334.2555276;56.5461155;0.2534165;4.273684;0.0079957;8;0
334.4554412;56.4613428;0.0723671;4.2752696;0.007867;8;0
334.6553548;56.3768546;-0.1088161;4.2768294;0.0077374;8;0
334.8552684;56.292647;-0.2901292;4.2783633;0.0076079;8;0
335.055182;56.2087151;-0.4715704;4.2798712;0.0074781;8;0
335.2550956;56.1250546;-0.653137;4.2813532;0.0073481;8;0
335.4550092;56.0416611;-0.8348256;4.2828092;0.0072182;8;0
335.6549228;55.9585295;-1.0166354;4.2842392;0.0070884;8;0
335.8548364;55.8756559;-1.1985621;4.2856433;0.0069586;8;0
336.0547499;55.7930354;-1.3806042;4.2870215;0.0068289;8;0
