x,y,yaw
-0.389666,-0.369049,-0.037389051478
-0.365784,-0.369393,0.008223498832
-0.341823,-0.368656,0.053623192986
-0.318138,-0.366836,0.100668652158
-0.295082,-0.363934,0.139062862854
-0.271475,-0.360305,0.158340717657
-0.246295,-0.356144,0.175196720334
-0.220131,-0.351216,0.203129441965
-0.193574,-0.345285,0.242703155064
-0.167213,-0.338115,0.295621701674
-0.141639,-0.329469,0.364734814264
-0.117443,-0.319111,0.454111113368
-0.095213,-0.306807,0.568913414997
-0.075541,-0.292318,0.714504366165
-0.059016,-0.27541,0.894528593807
-0.045944,-0.255438,1.078379678976
-0.035882,-0.232289,1.224578687949
-0.028298,-0.206523,1.328929686817
-0.022662,-0.178702,1.39998617484
-0.018443,-0.149385,1.444653297743
-0.015108,-0.119134,1.467433582491
-0.012128,-0.08851,1.470617340079
-0.00897,-0.058072,1.454522900831
-0.005105,-0.028382,1.417536124926
0,0,1.392834308494
0.005105,0.028382,1.417536124926
0.00897,0.058072,1.454522900831
0.012128,0.08851,1.470617340079
0.015108,0.119134,1.467433582491
0.018443,0.149385,1.444653297743
0.022662,0.178702,1.39998617484
0.028298,0.206523,1.328929686817
0.035882,0.232289,1.224578687949
0.045944,0.255438,1.078379678976
0.059016,0.27541,0.894528593807
0.075541,0.292318,0.714504366165
0.095213,0.306807,0.568913414997
0.117443,0.319111,0.454111113368
0.141639,0.329469,0.364734814264
0.167213,0.338115,0.295621701674
0.193574,0.345285,0.242703155064
0.220131,0.351216,0.203129441965
0.246295,0.356144,0.175196720334
0.271475,0.360305,0.158340717657
0.295082,0.363934,0.139062862854
0.318138,0.366836,0.100668652158
0.341823,0.368656,0.053623192986
0.365784,0.369393,0.008223498832
0.389666,0.369049,-0.037389051478
0.413115,0.367623,-0.085118072013
0.435777,0.365115,-0.137156571152
0.457298,0.361525,-0.19630266411
0.477325,0.356852,-0.266426325901
0.495502,0.351098,-0.353203926154
0.511475,0.344262,-0.435921596837
0.525275,0.33723,-0.490115554101
0.537285,0.330492,-0.551066949078
0.547682,0.323459,-0.657657177276
0.556643,0.315541,-0.804504118516
0.564344,0.306148,-0.96898959581
0.570964,0.294689,-1.121402478156
0.576679,0.280574,-1.243057820014
0.581666,0.263213,-1.331106711596
0.586102,0.242016,-1.391238641222
